Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(_)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(_C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(_C)_[A_Ch.2_Main]	dphi_(_)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(_)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(_C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(_C)_[A_Ch.4_Main]	dphi_(_)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(_C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
21/08/2023	10:51:17.819	0.916	19.581	22.752	155	1	OK	21/08/2023	10:51:17.819	0.916	15.335	OK	21/08/2023	10:51:17.819	0.916	1021	OK	21/08/2023	10:51:16.921	0.017	14.423	43.984	207	0	OK	21/08/2023	10:51:17.326	0.423	19.879	22.748	131	1	OK	21/08/2023	10:51:17.326	0.423	15.335	OK	21/08/2023	10:51:17.326	0.423	1021	OK	21/08/2023	10:51:17.117	0.214	14.838	44.675	89	1	OK	21/08/2023	10:51:17.312	0.408	15.335	OK			
21/08/2023	10:51:18.818	1.915	19.574	22.757	155	1	OK	21/08/2023	10:51:18.818	1.915	15.331	OK	21/08/2023	10:51:18.818	1.915	1021	OK	21/08/2023	10:51:18.130	1.227	14.469	43.974	207	0	OK	21/08/2023	10:51:18.326	1.423	19.877	22.749	131	1	OK	21/08/2023	10:51:18.326	1.423	15.333	OK	21/08/2023	10:51:18.326	1.423	1021	OK	21/08/2023	10:51:17.935	1.031	14.842	44.674	89	1	OK	21/08/2023	10:51:17.921	1.018	15.334	OK			
21/08/2023	10:51:19.820	2.916	19.564	22.763	155	1	OK	21/08/2023	10:51:19.820	2.916	15.329	OK	21/08/2023	10:51:19.820	2.916	1021	OK	21/08/2023	10:51:19.148	2.244	14.428	43.983	207	1	OK	21/08/2023	10:51:19.344	2.441	19.884	22.746	131	1	OK	21/08/2023	10:51:19.344	2.441	15.331	OK	21/08/2023	10:51:19.344	2.441	1021	OK	21/08/2023	10:51:18.950	2.047	14.807	44.682	89	1	OK	21/08/2023	10:51:18.937	2.033	15.331	OK			
21/08/2023	10:51:20.819	3.916	19.575	22.757	155	1	OK	21/08/2023	10:51:20.819	3.916	15.328	OK	21/08/2023	10:51:20.819	3.916	1021	OK	21/08/2023	10:51:20.134	3.23	14.465	43.975	207	0	OK	21/08/2023	10:51:20.330	3.427	19.883	22.746	131	1	OK	21/08/2023	10:51:20.330	3.427	15.329	OK	21/08/2023	10:51:20.330	3.427	1021	OK	21/08/2023	10:51:19.939	3.036	14.842	44.674	89	1	OK	21/08/2023	10:51:19.925	3.022	15.329	OK			
21/08/2023	10:51:21.819	4.915	19.592	22.747	155	1	OK	21/08/2023	10:51:21.819	4.915	15.328	OK	21/08/2023	10:51:21.819	4.915	1021	OK	21/08/2023	10:51:21.149	4.245	14.442	43.98	207	1	OK	21/08/2023	10:51:21.343	4.44	19.89	22.742	131	1	OK	21/08/2023	10:51:21.343	4.44	15.328	OK	21/08/2023	10:51:21.343	4.44	1021	OK	21/08/2023	10:51:20.923	4.019	14.798	44.684	89	1	OK	21/08/2023	10:51:21.134	4.231	15.328	OK			
21/08/2023	10:51:22.819	5.916	19.588	22.749	155	1	OK	21/08/2023	10:51:22.819	5.916	15.327	OK	21/08/2023	10:51:22.819	5.916	1021	OK	21/08/2023	10:51:22.243	5.34	14.465	43.975	207	1	OK	21/08/2023	10:51:22.132	5.229	19.873	22.752	131	1	OK	21/08/2023	10:51:22.132	5.229	15.328	OK	21/08/2023	10:51:22.132	5.229	1021	OK	21/08/2023	10:51:21.935	5.031	14.807	44.682	89	1	OK	21/08/2023	10:51:21.920	5.017	15.328	OK			
21/08/2023	10:51:23.820	6.916	19.582	22.753	155	1	OK	21/08/2023	10:51:23.820	6.916	15.324	OK	21/08/2023	10:51:23.820	6.916	1021	OK	21/08/2023	10:51:23.242	6.339	14.432	43.982	207	1	OK	21/08/2023	10:51:23.132	6.229	19.886	22.744	131	1	OK	21/08/2023	10:51:23.132	6.229	15.326	OK	21/08/2023	10:51:23.132	6.229	1022	OK	21/08/2023	10:51:22.922	6.019	14.829	44.677	89	1	OK	21/08/2023	10:51:23.117	6.214	15.327	OK			
21/08/2023	10:51:24.821	7.917	19.555	22.77	155	1	OK	21/08/2023	10:51:24.821	7.917	15.32	OK	21/08/2023	10:51:24.821	7.917	1021	OK	21/08/2023	10:51:24.245	7.341	14.451	43.978	207	0	OK	21/08/2023	10:51:24.133	7.23	19.885	22.745	131	1	OK	21/08/2023	10:51:24.133	7.23	15.324	OK	21/08/2023	10:51:24.133	7.23	1021	OK	21/08/2023	10:51:23.923	7.019	14.834	44.676	89	1	OK	21/08/2023	10:51:24.118	7.215	15.324	OK			
21/08/2023	10:51:25.822	8.918	19.57	22.761	155	1	OK	21/08/2023	10:51:25.822	8.918	15.318	OK	21/08/2023	10:51:25.822	8.918	1021	OK	21/08/2023	10:51:25.243	8.339	14.451	43.978	207	1	OK	21/08/2023	10:51:25.135	8.231	19.889	22.744	131	1	OK	21/08/2023	10:51:25.135	8.231	15.319	OK	21/08/2023	10:51:25.135	8.231	1021	OK	21/08/2023	10:51:24.924	8.02	14.811	44.681	89	1	OK	21/08/2023	10:51:25.122	8.218	15.319	OK			
21/08/2023	10:51:26.821	9.918	19.545	22.776	155	1	OK	21/08/2023	10:51:26.821	9.918	15.315	OK	21/08/2023	10:51:26.821	9.918	1021	OK	21/08/2023	10:51:26.246	9.342	14.451	43.978	207	1	OK	21/08/2023	10:51:26.135	9.232	19.893	22.742	131	1	OK	21/08/2023	10:51:26.135	9.232	15.318	OK	21/08/2023	10:51:26.135	9.232	1021	OK	21/08/2023	10:51:25.925	9.022	14.829	44.677	89	1	OK	21/08/2023	10:51:26.121	9.217	15.318	OK			
