Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(°)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(°C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(°C)_[A_Ch.2_Main]	dphi_(°)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(°)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(°C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(°C)_[A_Ch.4_Main]	dphi_(°)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(°C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
21/08/2023	14:47:08.836	0.552	19.585	22.178	145	1	OK	21/08/2023	14:47:08.836	0.552	20.261	OK	21/08/2023	14:47:08.836	0.552	1020	OK	21/08/2023	14:47:08.324	0.04	18.935	43.024	162	1	OK	21/08/2023	14:47:08.941	0.657	20.121	22.037	292	1	OK	21/08/2023	14:47:08.941	0.657	20.263	OK	21/08/2023	14:47:08.941	0.657	1020	OK	21/08/2023	14:47:08.128	-0.157	23.44	42.826	221	1	OK	21/08/2023	14:47:08.518	0.234	20.262	OK			
21/08/2023	14:47:09.839	1.554	19.583	22.179	145	1	OK	21/08/2023	14:47:09.839	1.554	20.264	OK	21/08/2023	14:47:09.839	1.554	1020	OK	21/08/2023	14:47:09.301	1.017	18.897	43.032	160	1	OK	21/08/2023	14:47:09.944	1.659	20.124	22.035	291	1	OK	21/08/2023	14:47:09.944	1.659	20.264	OK	21/08/2023	14:47:09.944	1.659	1020	OK	21/08/2023	14:47:08.533	0.248	23.46	42.822	221	1	OK	21/08/2023	14:47:09.497	1.212	20.263	OK			
21/08/2023	14:47:10.838	2.554	19.591	22.174	145	1	OK	21/08/2023	14:47:10.838	2.554	20.265	OK	21/08/2023	14:47:10.838	2.554	1020	OK	21/08/2023	14:47:10.301	2.017	18.878	43.036	159	0	OK	21/08/2023	14:47:10.944	2.66	20.109	22.043	291	1	OK	21/08/2023	14:47:10.944	2.66	20.265	OK	21/08/2023	14:47:10.944	2.66	1020	OK	21/08/2023	14:47:09.512	1.228	23.445	42.825	221	1	OK	21/08/2023	14:47:10.496	2.212	20.264	OK			
21/08/2023	14:47:11.839	3.554	19.592	22.174	145	1	OK	21/08/2023	14:47:11.839	3.554	20.268	OK	21/08/2023	14:47:11.839	3.554	1020	OK	21/08/2023	14:47:11.301	3.017	18.897	43.032	160	1	OK	21/08/2023	14:47:11.944	3.66	20.108	22.043	291	1	OK	21/08/2023	14:47:11.944	3.66	20.268	OK	21/08/2023	14:47:11.944	3.66	1020	OK	21/08/2023	14:47:10.511	2.227	23.464	42.821	221	1	OK	21/08/2023	14:47:11.498	3.214	20.267	OK			
21/08/2023	14:47:12.838	4.554	19.579	22.181	145	1	OK	21/08/2023	14:47:12.838	4.554	20.271	OK	21/08/2023	14:47:12.838	4.554	1020	OK	21/08/2023	14:47:12.301	4.017	18.892	43.033	160	0	OK	21/08/2023	14:47:12.942	4.658	20.119	22.037	291	1	OK	21/08/2023	14:47:12.942	4.658	20.271	OK	21/08/2023	14:47:12.942	4.658	1020	OK	21/08/2023	14:47:11.512	3.228	23.44	42.826	221	1	OK	21/08/2023	14:47:12.496	4.211	20.27	OK			
21/08/2023	14:47:13.838	5.554	19.581	22.18	145	1	OK	21/08/2023	14:47:13.838	5.554	20.274	OK	21/08/2023	14:47:13.838	5.554	1020	OK	21/08/2023	14:47:13.301	5.017	18.892	43.033	160	1	OK	21/08/2023	14:47:13.944	5.66	20.107	22.043	291	1	OK	21/08/2023	14:47:13.944	5.66	20.274	OK	21/08/2023	14:47:13.944	5.66	1020	OK	21/08/2023	14:47:12.510	4.226	23.484	42.817	221	1	OK	21/08/2023	14:47:13.497	5.213	20.274	OK			
21/08/2023	14:47:14.838	6.554	19.574	22.183	145	1	OK	21/08/2023	14:47:14.838	6.554	20.275	OK	21/08/2023	14:47:14.838	6.554	1020	OK	21/08/2023	14:47:14.299	6.014	18.897	43.032	160	1	OK	21/08/2023	14:47:14.944	6.66	20.113	22.039	291	1	OK	21/08/2023	14:47:14.944	6.66	20.275	OK	21/08/2023	14:47:14.944	6.66	1020	OK	21/08/2023	14:47:13.510	5.226	23.435	42.827	221	1	OK	21/08/2023	14:47:14.509	6.224	20.274	OK			
21/08/2023	14:47:15.837	7.553	19.579	22.18	145	1	OK	21/08/2023	14:47:15.837	7.553	20.277	OK	21/08/2023	14:47:15.837	7.553	1020	OK	21/08/2023	14:47:15.302	7.017	18.887	43.034	159	1	OK	21/08/2023	14:47:15.943	7.659	20.107	22.043	291	1	OK	21/08/2023	14:47:15.943	7.659	20.277	OK	21/08/2023	14:47:15.943	7.659	1020	OK	21/08/2023	14:47:14.522	6.238	23.45	42.824	221	1	OK	21/08/2023	14:47:15.499	7.215	20.276	OK			
21/08/2023	14:47:16.840	8.556	19.579	22.18	145	1	OK	21/08/2023	14:47:16.840	8.556	20.28	OK	21/08/2023	14:47:16.840	8.556	1020	OK	21/08/2023	14:47:16.300	8.016	18.911	43.029	159	1	OK	21/08/2023	14:47:16.945	8.66	20.098	22.048	291	1	OK	21/08/2023	14:47:16.945	8.66	20.28	OK	21/08/2023	14:47:16.945	8.66	1020	OK	21/08/2023	14:47:15.513	7.229	23.44	42.826	221	1	OK	21/08/2023	14:47:16.495	8.211	20.278	OK			
21/08/2023	14:47:17.839	9.555	19.594	22.171	145	1	OK	21/08/2023	14:47:17.839	9.555	20.284	OK	21/08/2023	14:47:17.839	9.555	1020	OK	21/08/2023	14:47:17.301	9.016	18.892	43.033	160	1	OK	21/08/2023	14:47:17.945	9.661	20.117	22.036	291	1	OK	21/08/2023	14:47:17.945	9.661	20.284	OK	21/08/2023	14:47:17.945	9.661	1020	OK	21/08/2023	14:47:16.510	8.226	23.445	42.825	221	1	OK	21/08/2023	14:47:17.498	9.214	20.283	OK			
21/08/2023	14:47:18.839	10.555	19.583	22.177	145	1	OK	21/08/2023	14:47:18.839	10.555	20.287	OK	21/08/2023	14:47:18.839	10.555	1020	OK	21/08/2023	14:47:18.301	10.016	18.921	43.027	160	1	OK	21/08/2023	14:47:18.946	10.661	20.105	22.043	291	1	OK	21/08/2023	14:47:18.946	10.661	20.287	OK	21/08/2023	14:47:18.946	10.661	1020	OK	21/08/2023	14:47:17.513	9.229	23.435	42.827	221	1	OK	21/08/2023	14:47:18.511	10.227	20.286	OK			
21/08/2023	14:47:19.839	11.554	19.563	22.189	145	1	OK	21/08/2023	14:47:19.839	11.554	20.288	OK	21/08/2023	14:47:19.839	11.554	1020	OK	21/08/2023	14:47:19.302	11.018	18.897	43.032	160	1	OK	21/08/2023	14:47:19.945	11.661	20.106	22.042	291	1	OK	21/08/2023	14:47:19.945	11.661	20.287	OK	21/08/2023	14:47:19.945	11.661	1020	OK	21/08/2023	14:47:18.526	10.241	23.44	42.826	221	1	OK	21/08/2023	14:47:19.499	11.214	20.288	OK			
21/08/2023	14:47:20.841	12.557	19.591	22.172	145	1	OK	21/08/2023	14:47:20.841	12.557	20.288	OK	21/08/2023	14:47:20.841	12.557	1020	OK	21/08/2023	14:47:20.301	12.017	18.902	43.031	159	1	OK	21/08/2023	14:47:20.946	12.662	20.099	22.046	291	1	OK	21/08/2023	14:47:20.946	12.662	20.288	OK	21/08/2023	14:47:20.946	12.662	1020	OK	21/08/2023	14:47:19.513	11.229	23.455	42.823	221	1	OK	21/08/2023	14:47:20.498	12.214	20.288	OK			
21/08/2023	14:47:21.840	13.556	19.557	22.192	145	1	OK	21/08/2023	14:47:21.840	13.556	20.287	OK	21/08/2023	14:47:21.840	13.556	1020	OK	21/08/2023	14:47:21.302	13.018	18.911	43.029	159	1	OK	21/08/2023	14:47:21.945	13.661	20.099	22.046	291	1	OK	21/08/2023	14:47:21.945	13.661	20.287	OK	21/08/2023	14:47:21.945	13.661	1020	OK	21/08/2023	14:47:20.514	12.23	23.479	42.818	221	1	OK	21/08/2023	14:47:21.512	13.228	20.287	OK			
21/08/2023	14:47:22.840	14.556	19.586	22.175	144	1	OK	21/08/2023	14:47:22.840	14.556	20.287	OK	21/08/2023	14:47:22.840	14.556	1020	OK	21/08/2023	14:47:22.301	14.017	18.926	43.026	160	1	OK	21/08/2023	14:47:22.946	14.662	20.097	22.047	291	1	OK	21/08/2023	14:47:22.946	14.662	20.288	OK	21/08/2023	14:47:22.946	14.662	1020	OK	21/08/2023	14:47:21.526	13.242	23.455	42.823	221	1	OK	21/08/2023	14:47:22.496	14.212	20.286	OK			
21/08/2023	14:47:23.840	15.556	19.564	22.188	144	1	OK	21/08/2023	14:47:23.840	15.556	20.288	OK	21/08/2023	14:47:23.840	15.556	1020	OK	21/08/2023	14:47:23.301	15.016	18.931	43.025	160	1	OK	21/08/2023	14:47:23.946	15.662	20.084	22.055	291	1	OK	21/08/2023	14:47:23.946	15.662	20.288	OK	21/08/2023	14:47:23.946	15.662	1020	OK	21/08/2023	14:47:22.510	14.226	23.469	42.82	221	1	OK	21/08/2023	14:47:23.495	15.211	20.287	OK			
21/08/2023	14:47:24.838	16.553	19.582	22.177	144	1	OK	21/08/2023	14:47:24.838	16.553	20.289	OK	21/08/2023	14:47:24.838	16.553	1020	OK	21/08/2023	14:47:24.301	16.016	18.94	43.023	160	1	OK	21/08/2023	14:47:24.942	16.657	20.091	22.05	291	1	OK	21/08/2023	14:47:24.942	16.657	20.29	OK	21/08/2023	14:47:24.942	16.657	1020	OK	21/08/2023	14:47:23.511	15.226	23.445	42.825	221	1	OK	21/08/2023	14:47:24.510	16.226	20.289	OK			
21/08/2023	14:47:25.840	17.556	19.556	22.192	144	1	OK	21/08/2023	14:47:25.840	17.556	20.289	OK	21/08/2023	14:47:25.840	17.556	1020	OK	21/08/2023	14:47:25.303	17.018	18.921	43.027	160	1	OK	21/08/2023	14:47:25.947	17.663	20.085	22.054	291	1	OK	21/08/2023	14:47:25.947	17.663	20.29	OK	21/08/2023	14:47:25.947	17.663	1020	OK	21/08/2023	14:47:24.525	16.24	23.445	42.825	221	1	OK	21/08/2023	14:47:25.500	17.215	20.29	OK			
21/08/2023	14:47:26.840	18.555	19.57	22.184	144	1	OK	21/08/2023	14:47:26.840	18.555	20.289	OK	21/08/2023	14:47:26.840	18.555	1020	OK	21/08/2023	14:47:26.301	18.017	18.916	43.028	160	1	OK	21/08/2023	14:47:26.949	18.664	20.089	22.051	291	1	OK	21/08/2023	14:47:26.949	18.664	20.289	OK	21/08/2023	14:47:26.949	18.664	1020	OK	21/08/2023	14:47:25.514	17.229	23.426	42.829	221	1	OK	21/08/2023	14:47:26.498	18.214	20.29	OK			
21/08/2023	14:47:27.840	19.556	19.594	22.17	144	1	OK	21/08/2023	14:47:27.840	19.556	20.289	OK	21/08/2023	14:47:27.840	19.556	1020	OK	21/08/2023	14:47:27.304	19.019	18.931	43.025	160	1	OK	21/08/2023	14:47:27.945	19.66	20.097	22.047	291	1	OK	21/08/2023	14:47:27.945	19.66	20.289	OK	21/08/2023	14:47:27.945	19.66	1020	OK	21/08/2023	14:47:26.513	18.229	23.445	42.825	221	1	OK	21/08/2023	14:47:27.501	19.217	20.289	OK			
21/08/2023	14:47:28.840	20.556	19.584	22.176	144	1	OK	21/08/2023	14:47:28.840	20.556	20.289	OK	21/08/2023	14:47:28.840	20.556	1020	OK	21/08/2023	14:47:28.305	20.02	18.897	43.032	160	0	OK	21/08/2023	14:47:28.946	20.661	20.096	22.048	291	1	OK	21/08/2023	14:47:28.946	20.661	20.289	OK	21/08/2023	14:47:28.946	20.661	1020	OK	21/08/2023	14:47:27.515	19.231	23.426	42.829	221	1	OK	21/08/2023	14:47:28.502	20.218	20.289	OK			
21/08/2023	14:47:29.840	21.556	19.572	22.183	144	1	OK	21/08/2023	14:47:29.840	21.556	20.29	OK	21/08/2023	14:47:29.840	21.556	1020	OK	21/08/2023	14:47:29.304	21.02	18.931	43.025	160	1	OK	21/08/2023	14:47:29.946	21.662	20.093	22.049	291	1	OK	21/08/2023	14:47:29.946	21.662	20.29	OK	21/08/2023	14:47:29.946	21.662	1020	OK	21/08/2023	14:47:28.517	20.233	23.431	42.828	221	1	OK	21/08/2023	14:47:29.500	21.216	20.288	OK			
21/08/2023	14:47:30.840	22.556	19.573	22.183	144	1	OK	21/08/2023	14:47:30.840	22.556	20.29	OK	21/08/2023	14:47:30.840	22.556	1020	OK	21/08/2023	14:47:30.304	22.02	18.926	43.026	160	1	OK	21/08/2023	14:47:30.945	22.661	20.078	22.057	291	1	OK	21/08/2023	14:47:30.945	22.661	20.29	OK	21/08/2023	14:47:30.945	22.661	1020	OK	21/08/2023	14:47:29.513	21.229	23.426	42.829	221	1	OK	21/08/2023	14:47:30.500	22.216	20.289	OK			
21/08/2023	14:47:31.840	23.556	19.564	22.187	144	1	OK	21/08/2023	14:47:31.840	23.556	20.293	OK	21/08/2023	14:47:31.840	23.556	1020	OK	21/08/2023	14:47:31.304	23.02	18.916	43.028	160	1	OK	21/08/2023	14:47:31.945	23.661	20.08	22.056	291	1	OK	21/08/2023	14:47:31.945	23.661	20.293	OK	21/08/2023	14:47:31.945	23.661	1020	OK	21/08/2023	14:47:30.513	22.228	23.411	42.832	221	1	OK	21/08/2023	14:47:31.498	23.214	20.292	OK			
21/08/2023	14:47:32.840	24.556	19.566	22.186	144	1	OK	21/08/2023	14:47:32.840	24.556	20.296	OK	21/08/2023	14:47:32.840	24.556	1020	OK	21/08/2023	14:47:32.305	24.021	18.916	43.028	160	1	OK	21/08/2023	14:47:32.945	24.661	20.083	22.054	291	1	OK	21/08/2023	14:47:32.945	24.661	20.296	OK	21/08/2023	14:47:32.945	24.661	1020	OK	21/08/2023	14:47:31.512	23.227	23.431	42.828	221	1	OK	21/08/2023	14:47:32.500	24.215	20.294	OK			
