Date_[A_Ch.1_Main]	Time_[A_Ch.1_Main]	_dt_(s)_[A_Ch.1_Main]	Oxygen_(%O2)_[A_Ch.1_Main]	dphi_(_)_[A_Ch.1_Main]	Signal_Intensity_(mV)_[A_Ch.1_Main]	Ambient_Light_(mV)_[A_Ch.1_Main]	Status_[A_Ch.1_Main]	Date_[A_Ch.1_CompT]	Time_[A_Ch.1_CompT]	_dt_(s)_[A_Ch.1_CompT]	Sample_Temp._(_C)_[A_Ch.1_CompT]	Status_[A_Ch.1_CompT]	Date_[A_Ch.1_CompP]	Time_[A_Ch.1_CompP]	_dt_(s)_[A_Ch.1_CompP]	Pressure_(mbar)_[A_Ch.1_CompP]	Status_[A_Ch.1_CompP]	Date_[A_Ch.2_Main]	Time_[A_Ch.2_Main]	_dt_(s)_[A_Ch.2_Main]	Optical_Temp._(_C)_[A_Ch.2_Main]	dphi_(_)_[A_Ch.2_Main]	Signal_Intensity_(mV)_[A_Ch.2_Main]	Ambient_Light_(mV)_[A_Ch.2_Main]	Status_[A_Ch.2_Main]	Date_[A_Ch.3_Main]	Time_[A_Ch.3_Main]	_dt_(s)_[A_Ch.3_Main]	Oxygen_(%O2)_[A_Ch.3_Main]	dphi_(_)_[A_Ch.3_Main]	Signal_Intensity_(mV)_[A_Ch.3_Main]	Ambient_Light_(mV)_[A_Ch.3_Main]	Status_[A_Ch.3_Main]	Date_[A_Ch.3_CompT]	Time_[A_Ch.3_CompT]	_dt_(s)_[A_Ch.3_CompT]	Sample_Temp._(_C)_[A_Ch.3_CompT]	Status_[A_Ch.3_CompT]	Date_[A_Ch.3_CompP]	Time_[A_Ch.3_CompP]	_dt_(s)_[A_Ch.3_CompP]	Pressure_(mbar)_[A_Ch.3_CompP]	Status_[A_Ch.3_CompP]	Date_[A_Ch.4_Main]	Time_[A_Ch.4_Main]	_dt_(s)_[A_Ch.4_Main]	Optical_Temp._(_C)_[A_Ch.4_Main]	dphi_(_)_[A_Ch.4_Main]	Signal_Intensity_(mV)_[A_Ch.4_Main]	Ambient_Light_(mV)_[A_Ch.4_Main]	Status_[A_Ch.4_Main]	Date_[A_T1]	Time_[A_T1]	_dt_(s)_[A_T1]	Sample_Temp._(_C)_[A_T1]	Status_[A_T1]	Date_[Comment]	Time_[Comment]	Comment
21/08/2023	14:26:53.172	0.892	19.54	22.196	222	0	OK	21/08/2023	14:26:53.172	0.892	20.333	OK	21/08/2023	14:26:53.172	0.892	1020	OK	21/08/2023	14:26:52.386	0.106	19.83	42.838	213	0	OK	21/08/2023	14:26:52.295	0.014	20.095	22.042	203	1	OK	21/08/2023	14:26:52.295	0.014	20.332	OK	21/08/2023	14:26:52.295	0.014	1020	OK	21/08/2023	14:26:52.584	0.304	21.899	43.147	129	0	OK	21/08/2023	14:26:53.590	1.309	20.332	OK			
21/08/2023	14:26:54.174	1.893	19.537	22.198	222	0	OK	21/08/2023	14:26:54.174	1.893	20.33	OK	21/08/2023	14:26:54.174	1.893	1020	OK	21/08/2023	14:26:53.394	1.113	19.801	42.844	213	0	OK	21/08/2023	14:26:53.286	1.006	20.085	22.048	203	1	OK	21/08/2023	14:26:53.286	1.006	20.332	OK	21/08/2023	14:26:53.286	1.006	1020	OK	21/08/2023	14:26:53.603	1.323	21.904	43.146	129	1	OK	21/08/2023	14:26:54.767	2.486	20.33	OK			
21/08/2023	14:26:55.174	2.893	19.533	22.201	222	0	OK	21/08/2023	14:26:55.174	2.893	20.329	OK	21/08/2023	14:26:55.174	2.893	1020	OK	21/08/2023	14:26:54.378	2.098	19.797	42.845	213	0	OK	21/08/2023	14:26:54.287	2.007	20.089	22.046	203	1	OK	21/08/2023	14:26:54.287	2.007	20.33	OK	21/08/2023	14:26:54.287	2.007	1020	OK	21/08/2023	14:26:54.574	2.293	21.918	43.143	129	0	OK	21/08/2023	14:26:55.575	3.294	20.33	OK			
21/08/2023	14:26:56.174	3.894	19.535	22.199	222	1	OK	21/08/2023	14:26:56.174	3.894	20.329	OK	21/08/2023	14:26:56.174	3.894	1020	OK	21/08/2023	14:26:55.379	3.099	19.801	42.844	213	0	OK	21/08/2023	14:26:55.287	3.007	20.072	22.056	203	1	OK	21/08/2023	14:26:55.287	3.007	20.329	OK	21/08/2023	14:26:55.287	3.007	1020	OK	21/08/2023	14:26:55.590	3.31	21.918	43.143	129	0	OK	21/08/2023	14:26:56.577	4.297	20.33	OK			
21/08/2023	14:26:57.174	4.894	19.523	22.206	222	1	OK	21/08/2023	14:26:57.174	4.894	20.333	OK	21/08/2023	14:26:57.174	4.894	1020	OK	21/08/2023	14:26:56.380	4.099	19.801	42.844	213	0	OK	21/08/2023	14:26:56.287	4.007	20.081	22.051	203	1	OK	21/08/2023	14:26:56.287	4.007	20.329	OK	21/08/2023	14:26:56.287	4.007	1020	OK	21/08/2023	14:26:56.591	4.311	21.918	43.143	129	1	OK	21/08/2023	14:26:57.574	5.293	20.334	OK			
21/08/2023	14:26:58.175	5.894	19.507	22.215	222	1	OK	21/08/2023	14:26:58.175	5.894	20.336	OK	21/08/2023	14:26:58.175	5.894	1020	OK	21/08/2023	14:26:57.378	5.098	19.821	42.84	213	0	OK	21/08/2023	14:26:57.287	5.007	20.085	22.048	203	1	OK	21/08/2023	14:26:57.287	5.007	20.333	OK	21/08/2023	14:26:57.287	5.007	1020	OK	21/08/2023	14:26:57.587	5.307	21.89	43.149	129	0	OK	21/08/2023	14:26:58.572	6.292	20.336	OK			
21/08/2023	14:26:59.173	6.893	19.505	22.216	222	1	OK	21/08/2023	14:26:59.173	6.893	20.337	OK	21/08/2023	14:26:59.173	6.893	1020	OK	21/08/2023	14:26:58.377	6.097	19.787	42.847	213	0	OK	21/08/2023	14:26:58.287	6.007	20.073	22.054	203	1	OK	21/08/2023	14:26:58.287	6.007	20.336	OK	21/08/2023	14:26:58.287	6.007	1020	OK	21/08/2023	14:26:58.586	6.306	21.918	43.143	129	0	OK	21/08/2023	14:26:59.576	7.296	20.336	OK			
21/08/2023	14:27:00.175	7.895	19.493	22.224	222	0	OK	21/08/2023	14:27:00.175	7.895	20.335	OK	21/08/2023	14:27:00.175	7.895	1020	OK	21/08/2023	14:26:59.378	7.097	19.811	42.842	213	0	OK	21/08/2023	14:26:59.287	7.006	20.076	22.053	203	1	OK	21/08/2023	14:26:59.287	7.006	20.337	OK	21/08/2023	14:26:59.287	7.006	1020	OK	21/08/2023	14:26:59.590	7.31	21.904	43.146	129	1	OK	21/08/2023	14:27:00.571	8.291	20.333	OK			
21/08/2023	14:27:01.176	8.895	19.48	22.231	222	1	OK	21/08/2023	14:27:01.176	8.895	20.334	OK	21/08/2023	14:27:01.176	8.895	1020	OK	21/08/2023	14:27:00.376	8.096	19.797	42.845	213	1	OK	21/08/2023	14:27:00.287	8.006	20.08	22.05	203	1	OK	21/08/2023	14:27:00.287	8.006	20.335	OK	21/08/2023	14:27:00.287	8.006	1020	OK	21/08/2023	14:27:00.584	8.304	21.918	43.143	129	1	OK	21/08/2023	14:27:01.575	9.295	20.333	OK			
21/08/2023	14:27:02.176	9.895	19.476	22.234	222	1	OK	21/08/2023	14:27:02.176	9.895	20.333	OK	21/08/2023	14:27:02.176	9.895	1020	OK	21/08/2023	14:27:01.379	9.099	19.792	42.846	213	0	OK	21/08/2023	14:27:01.288	9.008	20.079	22.052	203	1	OK	21/08/2023	14:27:01.288	9.008	20.334	OK	21/08/2023	14:27:01.288	9.008	1020	OK	21/08/2023	14:27:01.590	9.309	21.88	43.151	129	1	OK	21/08/2023	14:27:02.575	10.294	20.333	OK			
